n,Abs_Err,Rel_Err,R_n
3,0.0014740609928667325,0.17187126465921337,0.08600047677370122
5,5.48693605579853e-05,0.006397609349802454,0.05102674544541427
10,1.1005127253937985e-08,1.2831661295041827e-06,0.020798265037549998
20,6.661338147750939e-14,7.766928351791234e-12,0.006083336582119357
30,4.465428027344842e-12,5.206560420623253e-10,0.0023011280918424
40,1.328954390977799e-09,1.5495225296448715e-07,0.0009715384178639239
50,1.7083501169246063e-08,1.9918870148346197e-06,0.00043612904122375076
60,1.9913716983177565e-06,0.00023218820242357604,0.00020360887069995686
70,0.0006612460620306626,0.07709938563065245,9.768087219547791e-05
80,0.06974248709507636,8.13177305112594,4.781060132754606e-05
90,3.821276739810501,445.54985788396345,2.3763432912750443e-05
100,195.756724292765,22824.670032350732,1.1955577134898925e-05
